X,CH1,Start,Increment
Sequence,VOLT,4.75E-05,1.00E-06
590,4.76E-03,,
591,4.76E-03,,
592,4.76E-03,,
593,4.76E-03,,
594,5.04E-03,,
595,5.04E-03,,
596,5.04E-03,,
597,5.04E-03,,
598,5.04E-03,,
599,5.04E-03,,
600,5.04E-03,,
601,5.04E-03,,
602,5.04E-03,,
603,5.04E-03,,
604,5.04E-03,,
605,5.04E-03,,
606,5.04E-03,,
607,5.04E-03,,
608,5.32E-03,,
609,5.32E-03,,
610,5.32E-03,,
611,5.32E-03,,
612,5.32E-03,,
613,5.32E-03,,
614,5.32E-03,,
615,5.32E-03,,
616,5.32E-03,,
617,5.32E-03,,
618,5.32E-03,,
619,5.32E-03,,
620,5.32E-03,,
621,5.32E-03,,
622,5.32E-03,,
623,5.32E-03,,
624,5.32E-03,,
625,5.32E-03,,
626,5.32E-03,,
627,5.32E-03,,
628,5.04E-03,,
629,5.04E-03,,
630,5.04E-03,,
631,5.04E-03,,
632,4.76E-03,,
633,4.76E-03,,
634,4.76E-03,,
635,4.76E-03,,
636,4.76E-03,,
637,4.76E-03,,
638,4.76E-03,,
639,4.76E-03,,
640,4.76E-03,,
641,4.48E-03,,
642,4.48E-03,,
643,4.48E-03,,
644,4.48E-03,,
645,4.48E-03,,
646,4.20E-03,,
647,4.20E-03,,
648,4.20E-03,,
649,3.92E-03,,
650,3.92E-03,,
651,3.92E-03,,
652,3.92E-03,,
653,3.92E-03,,
654,3.64E-03,,
655,3.64E-03,,
656,3.36E-03,,
657,3.36E-03,,
658,3.36E-03,,
659,3.08E-03,,
660,3.08E-03,,
661,2.80E-03,,
662,2.80E-03,,
663,2.52E-03,,
664,2.52E-03,,
665,2.52E-03,,
666,2.24E-03,,
667,2.24E-03,,
668,2.24E-03,,
669,2.24E-03,,
670,1.96E-03,,
671,1.96E-03,,
672,1.68E-03,,
673,1.68E-03,,
674,1.40E-03,,
675,1.40E-03,,
676,1.12E-03,,
677,1.12E-03,,
678,8.40E-04,,
679,8.40E-04,,
680,5.60E-04,,
681,5.60E-04,,
682,5.60E-04,,
683,5.60E-04,,
684,2.80E-04,,
685,2.80E-04,,
686,2.80E-04,,
687,2.80E-04,,
688,0.00E+00,,
689,0.00E+00,,
690,0.00E+00,,
691,-2.80E-04,,
692,-2.80E-04,,
693,-2.80E-04,,
694,-5.60E-04,,
695,-5.60E-04,,
696,-5.60E-04,,
697,-8.40E-04,,
698,-8.40E-04,,
699,-8.40E-04,,
700,-8.40E-04,,
701,-8.40E-04,,
702,-1.12E-03,,
703,-1.12E-03,,
704,-1.12E-03,,
705,-1.12E-03,,
706,-1.12E-03,,
707,-1.12E-03,,
708,-1.12E-03,,
709,-1.12E-03,,
710,-1.12E-03,,
711,-1.12E-03,,
712,-1.12E-03,,
713,-1.40E-03,,
714,-1.40E-03,,
715,-1.40E-03,,
716,-1.40E-03,,
717,-1.40E-03,,
718,-1.40E-03,,
719,-1.40E-03,,
720,-1.12E-03,,
721,-1.12E-03,,
722,-1.12E-03,,
723,-1.12E-03,,
724,-1.12E-03,,
725,-8.40E-04,,
726,-8.40E-04,,
727,-8.40E-04,,
728,-8.40E-04,,
729,-8.40E-04,,
730,-5.60E-04,,
731,-5.60E-04,,
732,-5.60E-04,,
733,-2.80E-04,,
734,-2.80E-04,,
735,-2.80E-04,,
736,0.00E+00,,
737,0.00E+00,,
738,0.00E+00,,
739,2.80E-04,,
740,2.80E-04,,
741,5.60E-04,,
742,5.60E-04,,
743,8.40E-04,,
744,8.40E-04,,
745,1.12E-03,,
746,1.12E-03,,
747,1.40E-03,,
748,1.40E-03,,
749,1.68E-03,,
750,1.68E-03,,
751,1.96E-03,,
752,1.96E-03,,
753,2.24E-03,,
754,2.24E-03,,
755,2.52E-03,,
756,2.52E-03,,
757,2.80E-03,,
758,2.80E-03,,
759,3.08E-03,,
760,3.08E-03,,
761,3.36E-03,,
762,3.36E-03,,
763,3.36E-03,,
764,3.36E-03,,
765,3.64E-03,,
766,3.64E-03,,
767,3.64E-03,,
768,3.92E-03,,
769,3.92E-03,,
770,4.20E-03,,
771,4.20E-03,,
772,4.48E-03,,
773,4.48E-03,,
774,4.48E-03,,
775,4.48E-03,,
776,4.76E-03,,
777,4.76E-03,,
778,5.04E-03,,
779,5.04E-03,,
780,5.32E-03,,
781,5.32E-03,,
782,5.32E-03,,
783,5.60E-03,,
784,5.60E-03,,
785,5.60E-03,,
786,5.60E-03,,
787,5.88E-03,,
788,5.88E-03,,
789,6.16E-03,,
790,6.16E-03,,
791,6.44E-03,,
792,6.44E-03,,
793,6.44E-03,,
794,6.44E-03,,
795,6.44E-03,,
796,6.72E-03,,
797,6.72E-03,,
798,6.72E-03,,
799,6.72E-03,,
800,6.72E-03,,
801,7.00E-03,,
802,7.00E-03,,
803,7.00E-03,,
804,7.00E-03,,
805,7.00E-03,,
806,7.00E-03,,
807,7.00E-03,,
808,7.00E-03,,
809,7.00E-03,,
810,7.00E-03,,
811,7.00E-03,,
812,7.00E-03,,
813,7.00E-03,,
814,7.00E-03,,
815,7.00E-03,,
816,7.00E-03,,
817,7.00E-03,,
818,7.28E-03,,
819,7.28E-03,,
820,7.28E-03,,
821,7.28E-03,,
822,7.28E-03,,
823,7.28E-03,,
824,7.28E-03,,
825,7.28E-03,,
826,7.28E-03,,
827,7.28E-03,,
828,7.28E-03,,
829,7.28E-03,,
830,7.28E-03,,
831,7.28E-03,,
832,7.28E-03,,
833,7.28E-03,,
834,7.28E-03,,
835,7.28E-03,,
836,7.28E-03,,
837,7.28E-03,,
838,7.28E-03,,
839,7.28E-03,,
840,7.28E-03,,
841,7.28E-03,,
842,7.28E-03,,
843,7.28E-03,,
844,7.00E-03,,
845,7.00E-03,,
846,7.00E-03,,
847,7.00E-03,,
848,6.72E-03,,
849,6.72E-03,,
850,6.72E-03,,
851,6.72E-03,,
852,6.72E-03,,
853,6.44E-03,,
854,6.44E-03,,
855,6.44E-03,,
856,6.16E-03,,
857,6.16E-03,,
858,6.16E-03,,
859,5.88E-03,,
860,5.88E-03,,
861,5.88E-03,,
862,5.88E-03,,
863,5.88E-03,,
864,5.60E-03,,
865,5.60E-03,,
866,5.32E-03,,
867,5.32E-03,,
868,5.32E-03,,
869,5.04E-03,,
870,5.04E-03,,
871,5.04E-03,,
872,5.04E-03,,
873,4.76E-03,,
874,4.76E-03,,
875,4.48E-03,,
876,4.48E-03,,
877,4.48E-03,,
878,4.20E-03,,
879,4.20E-03,,
880,3.92E-03,,
881,3.92E-03,,
882,3.64E-03,,
883,3.64E-03,,
884,3.64E-03,,
885,3.64E-03,,
886,3.36E-03,,
887,3.36E-03,,
888,3.08E-03,,
889,3.08E-03,,
890,3.08E-03,,
891,2.80E-03,,
892,2.80E-03,,
893,2.80E-03,,
894,2.80E-03,,
895,2.80E-03,,
896,2.80E-03,,
897,2.52E-03,,
898,2.52E-03,,
899,2.52E-03,,
900,2.52E-03,,
901,2.52E-03,,
902,2.52E-03,,
903,2.52E-03,,
904,2.24E-03,,
905,2.24E-03,,
906,1.96E-03,,
907,1.96E-03,,
908,1.96E-03,,
909,1.96E-03,,
910,1.68E-03,,
911,1.68E-03,,
912,1.68E-03,,
913,1.68E-03,,
914,1.68E-03,,
915,1.40E-03,,
916,1.40E-03,,
917,1.12E-03,,
918,1.12E-03,,
919,1.12E-03,,
920,8.40E-04,,
921,8.40E-04,,
922,8.40E-04,,
923,8.40E-04,,
924,8.40E-04,,
925,8.40E-04,,
926,1.12E-03,,
927,1.12E-03,,
928,1.12E-03,,
929,1.12E-03,,
930,1.12E-03,,
931,1.12E-03,,
932,1.12E-03,,
933,1.12E-03,,
934,1.40E-03,,
935,1.40E-03,,
936,1.40E-03,,
937,1.40E-03,,
938,1.40E-03,,
939,1.68E-03,,
940,1.68E-03,,
941,1.68E-03,,
942,1.96E-03,,
943,1.96E-03,,
944,1.96E-03,,
945,2.24E-03,,
946,2.24E-03,,
947,2.52E-03,,
948,2.52E-03,,
949,2.52E-03,,
950,2.80E-03,,
951,2.80E-03,,
952,2.80E-03,,
953,3.08E-03,,
954,3.08E-03,,
