X,CH1,Start,Increment,adjusted
Sequence,VOLT,4.75E-05,1.00E-06,
951,0.0028,,,0.00532
952,0.0028,,,0.00532
953,0.00308,,,0.0056
954,0.00308,,,0.0056
955,0.00308,,,0.0056
956,0.00336,,,0.00588
957,0.00336,,,0.00588
958,0.00364,,,0.00616
959,0.00364,,,0.00616
960,0.00364,,,0.00616
961,0.00392,,,0.00644
962,0.00392,,,0.00644
963,0.00392,,,0.00644
964,0.0042,,,0.00672
965,0.0042,,,0.00672
966,0.00448,,,0.007
967,0.00448,,,0.007
968,0.00476,,,0.00728
969,0.00476,,,0.00728
970,0.00504,,,0.00756
971,0.00504,,,0.00756
972,0.00532,,,0.00784
973,0.00532,,,0.00784
974,0.00532,,,0.00784
